"Production et recettes brutes du lait, selon le type de marché, Québec (15 août 2018)";"";"";"";"";"";""
"Élément statistique";"1er niveau de détail";"Territoire";"Temps";"Unité de mesure";"Valeur numérique";"Note"
"Droit de production (matière grasse) ";"Quotidien";"Québec";"01-1999";"kg";"288316";""
"Droit de production (matière grasse) ";"Quotidien";"Québec";"02-1999";"kg";"287350";""
"Droit de production (matière grasse) ";"Quotidien";"Québec";"03-1999";"kg";"287327";""
"Droit de production (matière grasse) ";"Quotidien";"Québec";"04-1999";"kg";"288583";""
"Droit de production (matière grasse) ";"Quotidien";"Québec";"05-1999";"kg";"288174";""
"Droit de production (matière grasse) ";"Quotidien";"Québec";"06-1999";"kg";"287804";""
"Droit de production (matière grasse) ";"Quotidien";"Québec";"07-1999";"kg";"287366";""
"Droit de production (matière grasse) ";"Quotidien";"Québec";"08-1999";"kg";"287661";""
"Droit de production (matière grasse) ";"Quotidien";"Québec";"09-1999";"kg";"288574";""
"Droit de production (matière grasse) ";"Quotidien";"Québec";"10-1999";"kg";"288737";""
"Droit de production (matière grasse) ";"Quotidien";"Québec";"11-1999";"kg";"289283";""
"Droit de production (matière grasse) ";"Quotidien";"Québec";"12-1999";"kg";"289318";""
"Droit de production (matière grasse) ";"Quotidien";"Québec";"01-2000";"kg";"289538";""
"Droit de production (matière grasse) ";"Quotidien";"Québec";"02-2000";"kg";"290476";""
"Droit de production (matière grasse) ";"Quotidien";"Québec";"03-2000";"kg";"289780";""
"Droit de production (matière grasse) ";"Quotidien";"Québec";"04-2000";"kg";"289368";""
"Droit de production (matière grasse) ";"Quotidien";"Québec";"05-2000";"kg";"289624";""
"Droit de production (matière grasse) ";"Quotidien";"Québec";"06-2000";"kg";"293046";""
"Droit de production (matière grasse) ";"Quotidien";"Québec";"07-2000";"kg";"292779";""
"Droit de production (matière grasse) ";"Quotidien";"Québec";"08-2000";"kg";"295220";""
"Droit de production (matière grasse) ";"Quotidien";"Québec";"09-2000";"kg";"295877";""
"Droit de production (matière grasse) ";"Quotidien";"Québec";"10-2000";"kg";"296958";""
"Droit de production (matière grasse) ";"Quotidien";"Québec";"11-2000";"kg";"299583";""
"Droit de production (matière grasse) ";"Quotidien";"Québec";"12-2000";"kg";"298594";""
"Droit de production (matière grasse) ";"Quotidien";"Québec";"01-2001";"kg";"298696";""
"Droit de production (matière grasse) ";"Quotidien";"Québec";"02-2001";"kg";"298130";""
"Droit de production (matière grasse) ";"Quotidien";"Québec";"03-2001";"kg";"298238";""
"Droit de production (matière grasse) ";"Quotidien";"Québec";"04-2001";"kg";"296270";""
"Droit de production (matière grasse) ";"Quotidien";"Québec";"05-2001";"kg";"295875";""
"Droit de production (matière grasse) ";"Quotidien";"Québec";"06-2001";"kg";"296018";""
"Droit de production (matière grasse) ";"Quotidien";"Québec";"07-2001";"kg";"296212";""
"Droit de production (matière grasse) ";"Quotidien";"Québec";"08-2001";"kg";"296306";""
"Droit de production (matière grasse) ";"Quotidien";"Québec";"09-2001";"kg";"296091";""
"Droit de production (matière grasse) ";"Quotidien";"Québec";"10-2001";"kg";"297011";""
"Droit de production (matière grasse) ";"Quotidien";"Québec";"11-2001";"kg";"295055";""
"Droit de production (matière grasse) ";"Quotidien";"Québec";"12-2001";"kg";"295746";""
"Droit de production (matière grasse) ";"Quotidien";"Québec";"01-2002";"kg";"295404";""
"Droit de production (matière grasse) ";"Quotidien";"Québec";"02-2002";"kg";"295793";""
"Droit de production (matière grasse) ";"Quotidien";"Québec";"03-2002";"kg";"295824";""
"Droit de production (matière grasse) ";"Quotidien";"Québec";"04-2002";"kg";"294770";""
"Droit de production (matière grasse) ";"Quotidien";"Québec";"05-2002";"kg";"295254";""
"Droit de production (matière grasse) ";"Quotidien";"Québec";"06-2002";"kg";"295769";""
"Droit de production (matière grasse) ";"Quotidien";"Québec";"07-2002";"kg";"294911";""
"Droit de production (matière grasse) ";"Quotidien";"Québec";"08-2002";"kg";"292551";""
"Droit de production (matière grasse) ";"Quotidien";"Québec";"09-2002";"kg";"294113";""
"Droit de production (matière grasse) ";"Quotidien";"Québec";"10-2002";"kg";"291667";""
"Droit de production (matière grasse) ";"Quotidien";"Québec";"11-2002";"kg";"292322";""
"Droit de production (matière grasse) ";"Quotidien";"Québec";"12-2002";"kg";"290873";""
"Droit de production (matière grasse) ";"Quotidien";"Québec";"01-2003";"kg";"293849";""
"Droit de production (matière grasse) ";"Quotidien";"Québec";"02-2003";"kg";"293862";""
"Droit de production (matière grasse) ";"Quotidien";"Québec";"03-2003";"kg";"293749";""
"Droit de production (matière grasse) ";"Quotidien";"Québec";"04-2003";"kg";"293896";""
"Droit de production (matière grasse) ";"Quotidien";"Québec";"05-2003";"kg";"294222";""
"Droit de production (matière grasse) ";"Quotidien";"Québec";"06-2003";"kg";"294398";""
"Droit de production (matière grasse) ";"Quotidien";"Québec";"07-2003";"kg";"294615";""
"Droit de production (matière grasse) ";"Quotidien";"Québec";"08-2003";"kg";"294772";""
"Droit de production (matière grasse) ";"Quotidien";"Québec";"09-2003";"kg";"294568";""
"Droit de production (matière grasse) ";"Quotidien";"Québec";"10-2003";"kg";"294585";""
"Droit de production (matière grasse) ";"Quotidien";"Québec";"11-2003";"kg";"294855";""
"Droit de production (matière grasse) ";"Quotidien";"Québec";"12-2003";"kg";"294901";""
"Droit de production (matière grasse) ";"Quotidien";"Québec";"01-2004";"kg";"295007";""
"Droit de production (matière grasse) ";"Quotidien";"Québec";"02-2004";"kg";"294949";""
"Droit de production (matière grasse) ";"Quotidien";"Québec";"03-2004";"kg";"294824";""
"Droit de production (matière grasse) ";"Quotidien";"Québec";"04-2004";"kg";"295259";""
"Droit de production (matière grasse) ";"Quotidien";"Québec";"05-2004";"kg";"295407";""
"Droit de production (matière grasse) ";"Quotidien";"Québec";"06-2004";"kg";"295723";""
"Droit de production (matière grasse) ";"Quotidien";"Québec";"07-2004";"kg";"295744";""
"Droit de production (matière grasse) ";"Quotidien";"Québec";"08-2004";"kg";"296636";""
"Droit de production (matière grasse) ";"Quotidien";"Québec";"09-2004";"kg";"297365";""
"Droit de production (matière grasse) ";"Quotidien";"Québec";"10-2004";"kg";"298632";""
"Droit de production (matière grasse) ";"Quotidien";"Québec";"11-2004";"kg";"299419";""
"Droit de production (matière grasse) ";"Quotidien";"Québec";"12-2004";"kg";"298040";""
"Droit de production (matière grasse) ";"Quotidien";"Québec";"01-2005";"kg";"299407";""
"Droit de production (matière grasse) ";"Quotidien";"Québec";"02-2005";"kg";"300304";""
"Droit de production (matière grasse) ";"Quotidien";"Québec";"03-2005";"kg";"298288";""
"Droit de production (matière grasse) ";"Quotidien";"Québec";"04-2005";"kg";"296642";""
"Droit de production (matière grasse) ";"Quotidien";"Québec";"05-2005";"kg";"297492";""
"Droit de production (matière grasse) ";"Quotidien";"Québec";"06-2005";"kg";"299027";""
"Droit de production (matière grasse) ";"Quotidien";"Québec";"07-2005";"kg";"300406";""
"Droit de production (matière grasse) ";"Quotidien";"Québec";"08-2005";"kg";"300387";""
"Droit de production (matière grasse) ";"Quotidien";"Québec";"09-2005";"kg";"298814";""
"Droit de production (matière grasse) ";"Quotidien";"Québec";"10-2005";"kg";"297756";""
"Droit de production (matière grasse) ";"Quotidien";"Québec";"11-2005";"kg";"296861";""
"Droit de production (matière grasse) ";"Quotidien";"Québec";"12-2005";"kg";"297688";""
"Droit de production (matière grasse) ";"Quotidien";"Québec";"01-2006";"kg";"297881";""
"Droit de production (matière grasse) ";"Quotidien";"Québec";"02-2006";"kg";"297934";""
"Droit de production (matière grasse) ";"Quotidien";"Québec";"03-2006";"kg";"297080";""
"Droit de production (matière grasse) ";"Quotidien";"Québec";"04-2006";"kg";"296720";""
"Droit de production (matière grasse) ";"Quotidien";"Québec";"05-2006";"kg";"297143";""
"Droit de production (matière grasse) ";"Quotidien";"Québec";"06-2006";"kg";"297659";""
"Droit de production (matière grasse) ";"Quotidien";"Québec";"07-2006";"kg";"298866";""
"Droit de production (matière grasse) ";"Quotidien";"Québec";"08-2006";"kg";"298901";""
"Droit de production (matière grasse) ";"Quotidien";"Québec";"09-2006";"kg";"299044";""
"Droit de production (matière grasse) ";"Quotidien";"Québec";"10-2006";"kg";"299400";""
"Droit de production (matière grasse) ";"Quotidien";"Québec";"11-2006";"kg";"298821";""
"Droit de production (matière grasse) ";"Quotidien";"Québec";"12-2006";"kg";"298198";""
"Droit de production (matière grasse) ";"Quotidien";"Québec";"01-2007";"kg";"297967";""
"Droit de production (matière grasse) ";"Quotidien";"Québec";"02-2007";"kg";"296694";""
"Droit de production (matière grasse) ";"Quotidien";"Québec";"03-2007";"kg";"296796";""
"Droit de production (matière grasse) ";"Quotidien";"Québec";"04-2007";"kg";"296884";""
"Droit de production (matière grasse) ";"Quotidien";"Québec";"05-2007";"kg";"297089";""
"Droit de production (matière grasse) ";"Quotidien";"Québec";"06-2007";"kg";"296854";""
"Droit de production (matière grasse) ";"Quotidien";"Québec";"07-2007";"kg";"297198";""
"Droit de production (matière grasse) ";"Quotidien";"Québec";"08-2007";"kg";"297487";""
"Droit de production (matière grasse) ";"Quotidien";"Québec";"09-2007";"kg";"297563";""
"Droit de production (matière grasse) ";"Quotidien";"Québec";"10-2007";"kg";"297580";""
"Droit de production (matière grasse) ";"Quotidien";"Québec";"11-2007";"kg";"297710";""
"Droit de production (matière grasse) ";"Quotidien";"Québec";"12-2007";"kg";"297840";""
"Droit de production (matière grasse) ";"Quotidien";"Québec";"01-2008";"kg";"297806";""
"Droit de production (matière grasse) ";"Quotidien";"Québec";"02-2008";"kg";"297826";""
"Droit de production (matière grasse) ";"Quotidien";"Québec";"03-2008";"kg";"298166";""
"Droit de production (matière grasse) ";"Quotidien";"Québec";"04-2008";"kg";"298233";""
"Droit de production (matière grasse) ";"Quotidien";"Québec";"05-2008";"kg";"298251";""
"Droit de production (matière grasse) ";"Quotidien";"Québec";"06-2008";"kg";"298284";""
"Droit de production (matière grasse) ";"Quotidien";"Québec";"07-2008";"kg";"298425";""
"Droit de production (matière grasse) ";"Quotidien";"Québec";"08-2008";"kg";"298374";""
"Droit de production (matière grasse) ";"Quotidien";"Québec";"09-2008";"kg";"298131";""
"Droit de production (matière grasse) ";"Quotidien";"Québec";"10-2008";"kg";"298760";""
"Droit de production (matière grasse) ";"Quotidien";"Québec";"11-2008";"kg";"298308";""
"Droit de production (matière grasse) ";"Quotidien";"Québec";"12-2008";"kg";"298214";""
"Droit de production (matière grasse) ";"Quotidien";"Québec";"01-2009";"kg";"298286";""
"Droit de production (matière grasse) ";"Quotidien";"Québec";"02-2009";"kg";"298183";""
"Droit de production (matière grasse) ";"Quotidien";"Québec";"03-2009";"kg";"298312";""
"Droit de production (matière grasse) ";"Quotidien";"Québec";"04-2009";"kg";"298238";""
"Droit de production (matière grasse) ";"Quotidien";"Québec";"05-2009";"kg";"298441";""
"Droit de production (matière grasse) ";"Quotidien";"Québec";"06-2009";"kg";"298651";""
"Droit de production (matière grasse) ";"Quotidien";"Québec";"07-2009";"kg";"298597";""
