"Production et recettes brutes du lait, selon le type de marché, Québec (15 août 2018)";"";"";"";"";"";""
"Élément statistique";"1er niveau de détail";"Territoire";"Temps";"Unité de mesure";"Valeur numérique";"Note"
"Frais de mise en marché du lait ";"Total (Nature des frais)";"Québec";"01-1999";"k$";"9453,7";""
"Frais de mise en marché du lait ";"Total (Nature des frais)";"Québec";"02-1999";"k$";"8389,6";""
"Frais de mise en marché du lait ";"Total (Nature des frais)";"Québec";"03-1999";"k$";"8880,2";""
"Frais de mise en marché du lait ";"Total (Nature des frais)";"Québec";"04-1999";"k$";"8911";""
"Frais de mise en marché du lait ";"Total (Nature des frais)";"Québec";"05-1999";"k$";"9240,1";""
"Frais de mise en marché du lait ";"Total (Nature des frais)";"Québec";"06-1999";"k$";"8683,2";""
"Frais de mise en marché du lait ";"Total (Nature des frais)";"Québec";"07-1999";"k$";"8625,3";""
"Frais de mise en marché du lait ";"Total (Nature des frais)";"Québec";"08-1999";"k$";"8426,3";""
"Frais de mise en marché du lait ";"Total (Nature des frais)";"Québec";"09-1999";"k$";"8077,3";""
"Frais de mise en marché du lait ";"Total (Nature des frais)";"Québec";"10-1999";"k$";"8231,4";""
"Frais de mise en marché du lait ";"Total (Nature des frais)";"Québec";"11-1999";"k$";"8110,3";""
"Frais de mise en marché du lait ";"Total (Nature des frais)";"Québec";"12-1999";"k$";"8582,9";""
"Frais de mise en marché du lait ";"Total (Nature des frais)";"Québec";"01-2000";"k$";"9353,3";""
"Frais de mise en marché du lait ";"Total (Nature des frais)";"Québec";"02-2000";"k$";"8718,5";""
"Frais de mise en marché du lait ";"Total (Nature des frais)";"Québec";"03-2000";"k$";"9016,5";""
"Frais de mise en marché du lait ";"Total (Nature des frais)";"Québec";"04-2000";"k$";"8904,2";""
"Frais de mise en marché du lait ";"Total (Nature des frais)";"Québec";"05-2000";"k$";"9187,5";""
"Frais de mise en marché du lait ";"Total (Nature des frais)";"Québec";"06-2000";"k$";"8745,2";""
"Frais de mise en marché du lait ";"Total (Nature des frais)";"Québec";"07-2000";"k$";"8739,8";""
"Frais de mise en marché du lait ";"Total (Nature des frais)";"Québec";"08-2000";"k$";"8494,7";""
"Frais de mise en marché du lait ";"Total (Nature des frais)";"Québec";"09-2000";"k$";"8274,2";""
"Frais de mise en marché du lait ";"Total (Nature des frais)";"Québec";"10-2000";"k$";"8471";""
"Frais de mise en marché du lait ";"Total (Nature des frais)";"Québec";"11-2000";"k$";"8245,5";""
"Frais de mise en marché du lait ";"Total (Nature des frais)";"Québec";"12-2000";"k$";"9058,5";""
"Frais de mise en marché du lait ";"Total (Nature des frais)";"Québec";"01-2001";"k$";"9788,8";""
"Frais de mise en marché du lait ";"Total (Nature des frais)";"Québec";"02-2001";"k$";"8644,1";""
"Frais de mise en marché du lait ";"Total (Nature des frais)";"Québec";"03-2001";"k$";"9400,8";""
"Frais de mise en marché du lait ";"Total (Nature des frais)";"Québec";"04-2001";"k$";"9113,8";""
"Frais de mise en marché du lait ";"Total (Nature des frais)";"Québec";"05-2001";"k$";"9673,7";""
"Frais de mise en marché du lait ";"Total (Nature des frais)";"Québec";"06-2001";"k$";"9090,1";""
"Frais de mise en marché du lait ";"Total (Nature des frais)";"Québec";"07-2001";"k$";"9394,2";""
"Frais de mise en marché du lait ";"Total (Nature des frais)";"Québec";"08-2001";"k$";"10321,4";""
"Frais de mise en marché du lait ";"Total (Nature des frais)";"Québec";"09-2001";"k$";"10395,6";""
"Frais de mise en marché du lait ";"Total (Nature des frais)";"Québec";"10-2001";"k$";"10435,9";""
"Frais de mise en marché du lait ";"Total (Nature des frais)";"Québec";"11-2001";"k$";"10735,4";""
"Frais de mise en marché du lait ";"Total (Nature des frais)";"Québec";"12-2001";"k$";"10436,7";""
"Frais de mise en marché du lait ";"Total (Nature des frais)";"Québec";"01-2002";"k$";"11526,7";""
"Frais de mise en marché du lait ";"Total (Nature des frais)";"Québec";"02-2002";"k$";"10309";""
"Frais de mise en marché du lait ";"Total (Nature des frais)";"Québec";"03-2002";"k$";"10904,4";""
"Frais de mise en marché du lait ";"Total (Nature des frais)";"Québec";"04-2002";"k$";"10596,5";""
"Frais de mise en marché du lait ";"Total (Nature des frais)";"Québec";"05-2002";"k$";"10108,4";""
"Frais de mise en marché du lait ";"Total (Nature des frais)";"Québec";"06-2002";"k$";"9624,3";""
"Frais de mise en marché du lait ";"Total (Nature des frais)";"Québec";"07-2002";"k$";"9572,6";""
"Frais de mise en marché du lait ";"Total (Nature des frais)";"Québec";"08-2002";"k$";"9488,6";""
"Frais de mise en marché du lait ";"Total (Nature des frais)";"Québec";"09-2002";"k$";"9165,2";""
"Frais de mise en marché du lait ";"Total (Nature des frais)";"Québec";"10-2002";"k$";"9780,6";""
"Frais de mise en marché du lait ";"Total (Nature des frais)";"Québec";"11-2002";"k$";"9636,4";""
"Frais de mise en marché du lait ";"Total (Nature des frais)";"Québec";"12-2002";"k$";"10061,9";""
"Frais de mise en marché du lait ";"Total (Nature des frais)";"Québec";"01-2003";"k$";"11093,4";""
"Frais de mise en marché du lait ";"Total (Nature des frais)";"Québec";"02-2003";"k$";"9884,7";""
"Frais de mise en marché du lait ";"Total (Nature des frais)";"Québec";"03-2003";"k$";"11148,4";""
"Frais de mise en marché du lait ";"Total (Nature des frais)";"Québec";"04-2003";"k$";"11442,1";""
"Frais de mise en marché du lait ";"Total (Nature des frais)";"Québec";"05-2003";"k$";"11239,3";""
"Frais de mise en marché du lait ";"Total (Nature des frais)";"Québec";"06-2003";"k$";"10294,3";""
"Frais de mise en marché du lait ";"Total (Nature des frais)";"Québec";"07-2003";"k$";"10600,1";""
"Frais de mise en marché du lait ";"Total (Nature des frais)";"Québec";"08-2003";"k$";"10256,7";""
"Frais de mise en marché du lait ";"Total (Nature des frais)";"Québec";"09-2003";"k$";"10169";""
"Frais de mise en marché du lait ";"Total (Nature des frais)";"Québec";"10-2003";"k$";"10438,3";""
"Frais de mise en marché du lait ";"Total (Nature des frais)";"Québec";"11-2003";"k$";"10190,7";""
