"Production et recettes brutes du lait, selon le type de marché, Québec (15 août 2018)";"";"";"";"";"";"";"";""
"Élément statistique";"1er niveau de détail";"2ème niveau de détail";"3ème niveau de détail";"Territoire";"Temps";"Unité de mesure";"Valeur numérique";"Note"
"Prix moyen du lait ";"Total (Type de production ou marché)";"Total (Composantes laitières)";"..Montant brut";"Québec";"01-1999";"$/hl";"55,3042";""
"Prix moyen du lait ";"Total (Type de production ou marché)";"Total (Composantes laitières)";"..Montant brut";"Québec";"02-1999";"$/hl";"56,7085";""
"Prix moyen du lait ";"Total (Type de production ou marché)";"Total (Composantes laitières)";"..Montant brut";"Québec";"03-1999";"$/hl";"55,3048";""
"Prix moyen du lait ";"Total (Type de production ou marché)";"Total (Composantes laitières)";"..Montant brut";"Québec";"04-1999";"$/hl";"54,5651";""
"Prix moyen du lait ";"Total (Type de production ou marché)";"Total (Composantes laitières)";"..Montant brut";"Québec";"05-1999";"$/hl";"52,4288";""
"Prix moyen du lait ";"Total (Type de production ou marché)";"Total (Composantes laitières)";"..Montant brut";"Québec";"06-1999";"$/hl";"51,2061";""
"Prix moyen du lait ";"Total (Type de production ou marché)";"Total (Composantes laitières)";"..Montant brut";"Québec";"07-1999";"$/hl";"52,3372";""
"Prix moyen du lait ";"Total (Type de production ou marché)";"Total (Composantes laitières)";"..Montant brut";"Québec";"08-1999";"$/hl";"55,4799";""
"Prix moyen du lait ";"Total (Type de production ou marché)";"Total (Composantes laitières)";"..Montant brut";"Québec";"09-1999";"$/hl";"54,0366";""
"Prix moyen du lait ";"Total (Type de production ou marché)";"Total (Composantes laitières)";"..Montant brut";"Québec";"10-1999";"$/hl";"57,9218";""
"Prix moyen du lait ";"Total (Type de production ou marché)";"Total (Composantes laitières)";"..Montant brut";"Québec";"11-1999";"$/hl";"57,5311";""
"Prix moyen du lait ";"Total (Type de production ou marché)";"Total (Composantes laitières)";"..Montant brut";"Québec";"12-1999";"$/hl";"56,9581";""
"Prix moyen du lait ";"Total (Type de production ou marché)";"Total (Composantes laitières)";"..Montant brut";"Québec";"01-2000";"$/hl";"54,7018";""
