"Production et recettes brutes du lait, selon le type de marché, Québec (15 août 2018)";"";"";"";"";""
"Élément statistique";"Territoire";"Temps";"Unité de mesure";"Valeur numérique";"Note"
"Producteurs laitiers ";"Québec";"01-1999";"n";"10073";""
"Producteurs laitiers ";"Québec";"02-1999";"n";"10023";""
"Producteurs laitiers ";"Québec";"03-1999";"n";"9995";""
"Producteurs laitiers ";"Québec";"04-1999";"n";"9942";""
"Producteurs laitiers ";"Québec";"05-1999";"n";"9880";""
"Producteurs laitiers ";"Québec";"06-1999";"n";"9819";""
"Producteurs laitiers ";"Québec";"07-1999";"n";"9779";""
"Producteurs laitiers ";"Québec";"08-1999";"n";"9736";""
"Producteurs laitiers ";"Québec";"09-1999";"n";"9694";""
"Producteurs laitiers ";"Québec";"10-1999";"n";"9640";""
"Producteurs laitiers ";"Québec";"11-1999";"n";"9599";""
"Producteurs laitiers ";"Québec";"12-1999";"n";"9568";""
"Producteurs laitiers ";"Québec";"01-2000";"n";"9540";""
"Producteurs laitiers ";"Québec";"02-2000";"n";"9492";""
"Producteurs laitiers ";"Québec";"03-2000";"n";"9443";""
"Producteurs laitiers ";"Québec";"04-2000";"n";"9414";""
"Producteurs laitiers ";"Québec";"05-2000";"n";"9338";""
"Producteurs laitiers ";"Québec";"06-2000";"n";"9292";""
"Producteurs laitiers ";"Québec";"07-2000";"n";"9242";""
"Producteurs laitiers ";"Québec";"08-2000";"n";"9217";""
"Producteurs laitiers ";"Québec";"09-2000";"n";"9183";""
"Producteurs laitiers ";"Québec";"10-2000";"n";"9161";""
"Producteurs laitiers ";"Québec";"11-2000";"n";"9126";""
"Producteurs laitiers ";"Québec";"12-2000";"n";"9091";""
"Producteurs laitiers ";"Québec";"01-2001";"n";"9061";""
"Producteurs laitiers ";"Québec";"02-2001";"n";"9022";""
"Producteurs laitiers ";"Québec";"03-2001";"n";"8999";""
"Producteurs laitiers ";"Québec";"04-2001";"n";"8973";""
"Producteurs laitiers ";"Québec";"05-2001";"n";"8923";""
"Producteurs laitiers ";"Québec";"06-2001";"n";"8877";""
"Producteurs laitiers ";"Québec";"07-2001";"n";"8833";""
"Producteurs laitiers ";"Québec";"08-2001";"n";"8816";""
"Producteurs laitiers ";"Québec";"09-2001";"n";"8787";""
"Producteurs laitiers ";"Québec";"10-2001";"n";"8761";""
"Producteurs laitiers ";"Québec";"11-2001";"n";"8747";""
"Producteurs laitiers ";"Québec";"12-2001";"n";"8710";""
"Producteurs laitiers ";"Québec";"01-2002";"n";"8683";""
"Producteurs laitiers ";"Québec";"02-2002";"n";"8641";""
"Producteurs laitiers ";"Québec";"03-2002";"n";"8621";""
"Producteurs laitiers ";"Québec";"04-2002";"n";"8592";""
"Producteurs laitiers ";"Québec";"05-2002";"n";"8525";""
"Producteurs laitiers ";"Québec";"06-2002";"n";"8419";""
"Producteurs laitiers ";"Québec";"07-2002";"n";"8342";""
"Producteurs laitiers ";"Québec";"08-2002";"n";"8274";""
"Producteurs laitiers ";"Québec";"09-2002";"n";"8226";""
"Producteurs laitiers ";"Québec";"10-2002";"n";"8189";""
"Producteurs laitiers ";"Québec";"11-2002";"n";"8163";""
"Producteurs laitiers ";"Québec";"12-2002";"n";"8142";""
"Producteurs laitiers ";"Québec";"01-2003";"n";"8129";""
"Producteurs laitiers ";"Québec";"02-2003";"n";"8093";""
"Producteurs laitiers ";"Québec";"03-2003";"n";"8054";""
"Producteurs laitiers ";"Québec";"04-2003";"n";"8018";""
"Producteurs laitiers ";"Québec";"05-2003";"n";"7983";""
"Producteurs laitiers ";"Québec";"06-2003";"n";"7956";""
"Producteurs laitiers ";"Québec";"07-2003";"n";"7946";""
"Producteurs laitiers ";"Québec";"08-2003";"n";"7925";""
"Producteurs laitiers ";"Québec";"09-2003";"n";"7904";""
"Producteurs laitiers ";"Québec";"10-2003";"n";"7887";""
"Producteurs laitiers ";"Québec";"11-2003";"n";"7870";""
"Producteurs laitiers ";"Québec";"12-2003";"n";"7862";""
"Producteurs laitiers ";"Québec";"01-2004";"n";"7843";""
"Producteurs laitiers ";"Québec";"02-2004";"n";"7827";""
"Producteurs laitiers ";"Québec";"03-2004";"n";"7786";""
"Producteurs laitiers ";"Québec";"04-2004";"n";"7764";""
"Producteurs laitiers ";"Québec";"05-2004";"n";"7733";""
"Producteurs laitiers ";"Québec";"06-2004";"n";"7697";""
"Producteurs laitiers ";"Québec";"07-2004";"n";"7676";""
"Producteurs laitiers ";"Québec";"08-2004";"n";"7661";""
"Producteurs laitiers ";"Québec";"09-2004";"n";"7643";""
"Producteurs laitiers ";"Québec";"10-2004";"n";"7623";""
"Producteurs laitiers ";"Québec";"11-2004";"n";"7607";""
"Producteurs laitiers ";"Québec";"12-2004";"n";"7591";""
"Producteurs laitiers ";"Québec";"01-2005";"n";"7569";""
"Producteurs laitiers ";"Québec";"02-2005";"n";"7544";""
"Producteurs laitiers ";"Québec";"03-2005";"n";"7520";""
"Producteurs laitiers ";"Québec";"04-2005";"n";"7503";""
"Producteurs laitiers ";"Québec";"05-2005";"n";"7464";""
"Producteurs laitiers ";"Québec";"06-2005";"n";"7430";""
"Producteurs laitiers ";"Québec";"07-2005";"n";"7400";""
"Producteurs laitiers ";"Québec";"08-2005";"n";"7387";""
"Producteurs laitiers ";"Québec";"09-2005";"n";"7370";""
"Producteurs laitiers ";"Québec";"10-2005";"n";"7359";""
"Producteurs laitiers ";"Québec";"11-2005";"n";"7336";""
"Producteurs laitiers ";"Québec";"12-2005";"n";"7327";""
"Producteurs laitiers ";"Québec";"01-2006";"n";"7308";""
"Producteurs laitiers ";"Québec";"02-2006";"n";"7292";""
"Producteurs laitiers ";"Québec";"03-2006";"n";"7263";""
"Producteurs laitiers ";"Québec";"04-2006";"n";"7228";""
"Producteurs laitiers ";"Québec";"05-2006";"n";"7199";""
"Producteurs laitiers ";"Québec";"06-2006";"n";"7151";""
"Producteurs laitiers ";"Québec";"07-2006";"n";"7120";""
"Producteurs laitiers ";"Québec";"08-2006";"n";"7092";""
"Producteurs laitiers ";"Québec";"09-2006";"n";"7077";""
"Producteurs laitiers ";"Québec";"10-2006";"n";"7058";""
"Producteurs laitiers ";"Québec";"11-2006";"n";"7043";""
"Producteurs laitiers ";"Québec";"12-2006";"n";"7035";""
"Producteurs laitiers ";"Québec";"01-2007";"n";"7012";""
"Producteurs laitiers ";"Québec";"02-2007";"n";"6980";""
"Producteurs laitiers ";"Québec";"03-2007";"n";"6946";""
"Producteurs laitiers ";"Québec";"04-2007";"n";"6908";""
"Producteurs laitiers ";"Québec";"05-2007";"n";"6881";""
"Producteurs laitiers ";"Québec";"06-2007";"n";"6864";""
"Producteurs laitiers ";"Québec";"07-2007";"n";"6846";""
"Producteurs laitiers ";"Québec";"08-2007";"n";"6836";""
"Producteurs laitiers ";"Québec";"09-2007";"n";"6813";""
"Producteurs laitiers ";"Québec";"10-2007";"n";"6799";""
"Producteurs laitiers ";"Québec";"11-2007";"n";"6782";""
"Producteurs laitiers ";"Québec";"12-2007";"n";"6771";""
"Producteurs laitiers ";"Québec";"01-2008";"n";"6749";""
"Producteurs laitiers ";"Québec";"02-2008";"n";"6731";""
"Producteurs laitiers ";"Québec";"03-2008";"n";"6720";""
"Producteurs laitiers ";"Québec";"04-2008";"n";"6698";""
"Producteurs laitiers ";"Québec";"05-2008";"n";"6672";""
"Producteurs laitiers ";"Québec";"06-2008";"n";"6642";""
"Producteurs laitiers ";"Québec";"07-2008";"n";"6629";""
"Producteurs laitiers ";"Québec";"08-2008";"n";"6609";""
"Producteurs laitiers ";"Québec";"09-2008";"n";"6587";""
"Producteurs laitiers ";"Québec";"10-2008";"n";"6565";""
"Producteurs laitiers ";"Québec";"11-2008";"n";"6554";""
"Producteurs laitiers ";"Québec";"12-2008";"n";"6544";""
"Producteurs laitiers ";"Québec";"01-2009";"n";"6536";""
"Producteurs laitiers ";"Québec";"02-2009";"n";"6524";""
"Producteurs laitiers ";"Québec";"03-2009";"n";"6512";""
"Producteurs laitiers ";"Québec";"04-2009";"n";"6506";""
"Producteurs laitiers ";"Québec";"05-2009";"n";"6489";""
"Producteurs laitiers ";"Québec";"06-2009";"n";"6471";""
"Producteurs laitiers ";"Québec";"07-2009";"n";"6457";""
"Producteurs laitiers ";"Québec";"08-2009";"n";"6451";""
"Producteurs laitiers ";"Québec";"09-2009";"n";"6445";""
"Producteurs laitiers ";"Québec";"10-2009";"n";"6435";""
"Producteurs laitiers ";"Québec";"11-2009";"n";"6412";""
"Producteurs laitiers ";"Québec";"12-2009";"n";"6399";""
"Producteurs laitiers ";"Québec";"01-2010";"n";"6386";""
"Producteurs laitiers ";"Québec";"02-2010";"n";"6380";""
"Producteurs laitiers ";"Québec";"03-2010";"n";"6368";""
"Producteurs laitiers ";"Québec";"04-2010";"n";"6357";""
"Producteurs laitiers ";"Québec";"05-2010";"n";"6346";""
"Producteurs laitiers ";"Québec";"06-2010";"n";"6339";""
"Producteurs laitiers ";"Québec";"07-2010";"n";"6335";""
"Producteurs laitiers ";"Québec";"08-2010";"n";"6329";""
"Producteurs laitiers ";"Québec";"09-2010";"n";"6325";""
"Producteurs laitiers ";"Québec";"10-2010";"n";"6317";""
"Producteurs laitiers ";"Québec";"11-2010";"n";"6312";""
"Producteurs laitiers ";"Québec";"12-2010";"n";"6302";""
"Producteurs laitiers ";"Québec";"01-2011";"n";"6299";""
"Producteurs laitiers ";"Québec";"02-2011";"n";"6293";""
"Producteurs laitiers ";"Québec";"03-2011";"n";"6286";""
