"Production et recettes brutes du lait, selon le type de marché, Québec (15 août 2018)";"";"";"";"";"";"";""
"Élément statistique";"1er niveau de détail";"2ème niveau de détail";"Territoire";"Temps";"Unité de mesure";"Valeur numérique";"Note"
"Production laitière ";"Total (Type de production ou marché)";"Total (Composantes laitières)";"Québec";"01-1999";"hl";"2448355,93";""
"Production laitière ";"Total (Type de production ou marché)";"Total (Composantes laitières)";"Québec";"02-1999";"hl";"2229547,38";""
"Production laitière ";"Total (Type de production ou marché)";"Total (Composantes laitières)";"Québec";"03-1999";"hl";"2501089,44";""
"Production laitière ";"Total (Type de production ou marché)";"Total (Composantes laitières)";"Québec";"04-1999";"hl";"2496187,42";""
"Production laitière ";"Total (Type de production ou marché)";"Total (Composantes laitières)";"Québec";"05-1999";"hl";"2614137,43";""
"Production laitière ";"Total (Type de production ou marché)";"Total (Composantes laitières)";"Québec";"06-1999";"hl";"2473850,01";""
"Production laitière ";"Total (Type de production ou marché)";"Total (Composantes laitières)";"Québec";"07-1999";"hl";"2442372,58";""
"Production laitière ";"Total (Type de production ou marché)";"Total (Composantes laitières)";"Québec";"08-1999";"hl";"2396104,72";""
"Production laitière ";"Total (Type de production ou marché)";"Total (Composantes laitières)";"Québec";"09-1999";"hl";"2293340,93";""
"Production laitière ";"Total (Type de production ou marché)";"Total (Composantes laitières)";"Québec";"10-1999";"hl";"2327129,93";""
"Production laitière ";"Total (Type de production ou marché)";"Total (Composantes laitières)";"Québec";"11-1999";"hl";"2269182,05";""
"Production laitière ";"Total (Type de production ou marché)";"Total (Composantes laitières)";"Québec";"12-1999";"hl";"2399392,41";""
"Production laitière ";"Total (Type de production ou marché)";"Total (Composantes laitières)";"Québec";"01-2000";"hl";"2431119,84";""
"Production laitière ";"Total (Type de production ou marché)";"Total (Composantes laitières)";"Québec";"02-2000";"hl";"2290429,13";""
"Production laitière ";"Total (Type de production ou marché)";"Total (Composantes laitières)";"Québec";"03-2000";"hl";"2486655,75";""
"Production laitière ";"Total (Type de production ou marché)";"Total (Composantes laitières)";"Québec";"04-2000";"hl";"2440805,37";""
"Production laitière ";"Total (Type de production ou marché)";"Total (Composantes laitières)";"Québec";"05-2000";"hl";"2538404,98";""
