"Production et recettes brutes du lait, selon le type de marché, Québec (15 août 2018)";"";"";"";"";"";"";"";"";""
"Élément statistique";"1er niveau de détail";"2ème niveau de détail";"3ème niveau de détail";"4ème niveau de détail";"Territoire";"Temps";"Unité de mesure";"Valeur numérique";"Note"
"Recettes laitières ";"Total (Type de production ou marché)";"Total (Composantes laitières)";"..Montant brut";"Total (Provenance)";"Québec";"01-1999";"k$";"135404,5";""
"Recettes laitières ";"Total (Type de production ou marché)";"Total (Composantes laitières)";"..Montant brut";"Total (Provenance)";"Québec";"02-1999";"k$";"126434,2";""
"Recettes laitières ";"Total (Type de production ou marché)";"Total (Composantes laitières)";"..Montant brut";"Total (Provenance)";"Québec";"03-1999";"k$";"138322,3";""
"Recettes laitières ";"Total (Type de production ou marché)";"Total (Composantes laitières)";"..Montant brut";"Total (Provenance)";"Québec";"04-1999";"k$";"136204,6";""
"Recettes laitières ";"Total (Type de production ou marché)";"Total (Composantes laitières)";"..Montant brut";"Total (Provenance)";"Québec";"05-1999";"k$";"137056,1";""
"Recettes laitières ";"Total (Type de production ou marché)";"Total (Composantes laitières)";"..Montant brut";"Total (Provenance)";"Québec";"06-1999";"k$";"126676,3";""
"Recettes laitières ";"Total (Type de production ou marché)";"Total (Composantes laitières)";"..Montant brut";"Total (Provenance)";"Québec";"07-1999";"k$";"127827";""
"Recettes laitières ";"Total (Type de production ou marché)";"Total (Composantes laitières)";"..Montant brut";"Total (Provenance)";"Québec";"08-1999";"k$";"132935,7";""
"Recettes laitières ";"Total (Type de production ou marché)";"Total (Composantes laitières)";"..Montant brut";"Total (Provenance)";"Québec";"09-1999";"k$";"123924,3";""
"Recettes laitières ";"Total (Type de production ou marché)";"Total (Composantes laitières)";"..Montant brut";"Total (Provenance)";"Québec";"10-1999";"k$";"134791,6";""
"Recettes laitières ";"Total (Type de production ou marché)";"Total (Composantes laitières)";"..Montant brut";"Total (Provenance)";"Québec";"11-1999";"k$";"130548,6";""
"Recettes laitières ";"Total (Type de production ou marché)";"Total (Composantes laitières)";"..Montant brut";"Total (Provenance)";"Québec";"12-1999";"k$";"136664,8";""
