# From Dumais & Chassin (2015)
Annee,Canada,Quebec
1970,122914,44784
1986,40072,17056
2000,19363,9242
2014,11962,5894
# CCIL - Rapport D056
Année,BC,AB,SK,MB,ON,QC,NB,NS,PE,NL,Canada
2017,400,523,160,282,3613,5368,194,213,166,32,10951
2016,417,531,159,285,3731,5546,199,221,168,32,11289
2015,437,547,163,299,3834,5766,206,225,174,32,11683
2014,455,566,166,308,3926,5894,206,229,180,32,11962
2013,475,571,166,321,3997,6038,211,235,187,33,12234
2012,491,585,172,332,4083,6189,214,237,193,33,12529
2011,512,592,182,344,4137,6281,219,245,200,34,12746
2010,529,598,190,356,4191,6375,234,248,209,35,12965
2009,542,615,202,388,4243,6492,231,253,213,35,13214
2008,556,638,226,410,4352,6661,233,261,212,38,13587
2007,572,660,230,425,4508,6869,240,272,222,38,14036
2006,615,692,243,455,4688,7162,254,279,234,38,14660
2005,641,720,259,495,5057,7508,258,297,246,41,15522
2004,667,749,278,530,5346,7757,277,314,265,41,16224
2003,679,776,294,555,5641,8054,285,344,301,41,16970
