#Quota total alloué au Québec - décembre de chaque année
temps,cible_QC
01-2017,128226327
02-2017,130727575
03-2017,129835077
04-2017,129557287
05-2017,130292895
06-2017,131270573
07-2017,132022951
08-2017,133224461
09-2017,133755733
10-2017,134285310
11-2017,134992749
12-2017,135359786
01-2018,135268463
02-2018,135359468
03-2018,135670953
04-2018,136986515
05-2018,137571119
06-2018,137889108
07-2018,138515856
08-2018,138402664
09-2018,139130963
10-2018,139384653
11-2018,139553160
12-2018,140045232
