Ventes commerciales de lait et de crème c 1 2 3 4
"Mensuelle"
"Tableau: 32-10-0114-01 (anciennement CANSIM 003-0012)"
"Géographie: Canada, Province ou territoire"

"Géographie";"Période de référence";"Lait homogénéisé";"Lait à 2 %";"Lait écrémé";"Babeurre";"Lait au chocolat et autres laits aromatisés 5";"Lait à 1 %"
"";;"Kilolitres";;;;;
"Canada 1 2 3 4 (carte)";"janvier 1999";"38 408";"116 551";"22 019";"1 038";"11 338";"42 361"
;"février 1999";"33 609";"103 098";"19 705";"1 029";"10 833";"38 754"
;"mars 1999";"36 583";"114 732";"22 057";"1 140";"12 152";"43 308"
;"avril 1999";"37 501";"115 437";"22 172";"1 169";"11 858";"43 449"
;"mai 1999";"34 056";"105 983";"20 069";"1 165";"11 535";"41 113"
;"juin 1999";"33 660";"101 762";"20 219";"1 208";"11 222";"39 275"
;"juillet 1999";"37 175";"111 773";"20 864";"1 137";"11 916";"41 783"
;"août 1999";"34 819";"105 505";"20 429";"1 101";"11 993";"40 262"
;"septembre 1999";"34 723";"108 896";"21 100";"1 036";"12 594";"41 389"
;"octobre 1999";"37 596";"116 837";"22 240";"1 014";"12 476";"44 674"
;"novembre 1999";"35 139";"111 474";"21 858";"999";"12 283";"43 438"
;"décembre 1999";"36 227";"113 049";"21 595";"1 031";"11 694";"43 532"
;"janvier 2000";"37 546";"113 955";"22 210";"951";"11 166";"44 473"
;"février 2000";"34 352";"107 277";"21 422";"916";"11 354";"42 907"
;"mars 2000";"36 178";"111 865";"22 773";"1 002";"11 714";"44 851"
;"avril 2000";"36 521";"110 206";"22 885";"983";"10 941";"44 134"
;"mai 2000";"35 552";"109 322";"22 212";"1 005";"11 551";"44 417"
;"juin 2000";"34 534";"107 202";"21 609";"1 066";"10 861";"43 203"
;"juillet 2000";"38 005";"111 169";"21 494";"1 098";"11 220";"43 224"
;"août 2000";"35 012";"105 223";"20 738";"1 081";"11 254";"41 138"
;"septembre 2000";"35 285";"108 062";"21 712";"1 024";"11 873";"44 002"
;"octobre 2000";"39 434";"120 057";"23 426";"988";"13 595";"47 455"
;"novembre 2000";"35 362";"108 999";"21 443";"990";"12 436";"44 117"
;"décembre 2000";"37 993";"113 435";"21 673";"936";"11 282";"45 615"
;"janvier 2001";"37 005";"114 238";"22 073";"904";"12 191";"44 999"
;"février 2001";"33 811";"104 139";"20 494";"776";"11 872";"41 812"
;"mars 2001";"36 630";"109 582";"23 311";"1 032";"13 279";"46 083"
;"avril 2001";"37 822";"111 942";"23 156";"985";"12 573";"45 875"
;"mai 2001";"35 095";"104 325";"22 727";"1 056";"12 382";"44 383"
;"juin 2001";"34 731";"102 365";"22 284";"1 065";"11 310";"43 218"
;"juillet 2001";"37 311";"108 448";"22 626";"1 159";"11 886";"44 042"
;"août 2001";"35 404";"103 486";"21 855";"1 099";"12 256";"43 502"
;"septembre 2001";"33 920";"101 196";"21 786";"926";"12 700";"43 106"
;"octobre 2001";"41 745";"123 928";"25 348";"1 058";"15 325";"50 370"
;"novembre 2001";"35 501";"106 705";"22 875";"1 021";"13 408";"45 045"
;"décembre 2001";"41 430";"106 358";"22 171";"967";"11 965";"41 430"
;"janvier 2002";"38 040";"114 238";"24 209";"1 040";"13 752";"47 494"
;"février 2002";"33 164";"99 861";"21 456";"886";"12 857";"41 952"
;"mars 2002";"35 801";"108 169";"24 024";"1 144";"13 495";"44 521"
;"avril 2002";"37 416";"112 635";"24 185";"1 080";"13 104";"46 961"
;"mai 2002";"35 041";"106 767";"24 008";"1 133";"13 245";"46 781"
;"juin 2002";"33 208";"97 776";"21 935";"1 162";"11 482";"42 075"
;"juillet 2002";"35 479";"104 158";"22 330";"1 258";"12 267";"43 228"
;"août 2002";"34 911";"104 464";"22 487";"1 208";"12 817";"44 303"
;"septembre 2002";"33 867";"101 937";"22 389";"1 027";"12 936";"44 029"
;"octobre 2002";"36 909";"110 630";"24 045";"1 100";"13 957";"47 512"
;"novembre 2002";"34 876";"105 249";"23 299";"1 079";"13 169";"45 995"
;"décembre 2002";"36 059";"106 735";"22 639";"1 100";"11 887";"45 985"
;"janvier 2003";"37 336";"113 398";"24 351";"942";"13 980";"43 279"
;"février 2003";"33 052";"101 162";"21 190";"974";"13 504";"43 938"
;"mars 2003";"34 604";"105 138";"22 950";"1 064";"14 152";"46 147"
;"avril 2003";"37 172";"112 208";"23 322";"1 137";"12 940";"48 278"
;"mai 2003";"34 308";"103 770";"22 465";"1 128";"12 327";"46 094"
;"juin 2003";"32 726";"97 238";"21 313";"1 180";"12 118";"43 236"
;"juillet 2003";"36 895";"108 504";"22 125";"1 301";"12 269";"45 802"
